gcp_lot4_10,2693789.941,1256255.321,556.034
gcp_lot4_11,2693804.178,1256243.954,555.566
gcp_lot4_2,2693774.831,1256234.79,555.095
gcp_lot4_3,2693789.19,1256223.294,554.637
gcp_lot4_4,2693799.812,1256222.512,554.605
gcp_lot4_5,2693785.626,1256233.853,555.055
gcp_lot4_6,2693771.696,1256245.006,555.621
gcp_lot4_7,2693782.389,1256244.28,555.458
gcp_lot4_8,2693796.449,1256232.823,555.077
gcp_lot4_9,2693794.159,1256244.292,555.551
gcp_lot4_12,2693777.834,1256223.791,554.798
target 5,2693792.049,1256212.574,554.387
target 6,2693763.938,1256234.987,555.16
target 7,2693779.934,1256255.57,556.127
target 8,2693808.044,1256233.226,555.155
